Region,year2011,year2012,year2013,year2014,year2015,idp2011,idp2012,idp2013,idp2014,idp2015,cx,cy
Al-Hasakah,15,200,556,264,380,2300,11500,89000,197500,394900,782.866,193.244
Al-Qunaitra,1,126,425,349,72,770,1300,132375,72000,89500,245.079,639.036
Al-Raqah,9,342,1020,564,199,5500,22100,76750,177000,251200,597.327,262.036
Al-Suwaida,4,21,40,23,15,550,4800,8625,69000,71800,327.587,690.448
Aleppo,46,6301,9150,8390,3885,120,3600,193500,1787000,1799500,398.037,229.032
Dair-ez-zour,277,3003,1837,1792,1229,0,0,95000,441000,446640,716.645,342.64
Damascus,452,9709,12549,5967,3624,1500,5500,132375,410000,419200,297.123,585.087
Daraa,899,3196,3794,3226,2040,85,3300,87000,266000,470000,274.907,703.776
Hama,690,3145,2465,2214,767,150,150,119000,245500,250300,351.071,368.662
Homs,2252,6599,4495,2452,1133,1550,7700,223500,560000,582100,348.532,422.609
Idlib,969,5344,3619,2986,2438,50,200,118500,708000,711500,342.185,262.035
Lattakia,202,517,292,136,57,90,2000,51500,300000,300700,250.791,314.083
Rural_Damascus,186,3300,3570,1738,749,10000,47600,237750,770000,795700,323.779,577.472
Tartous,52,33,431,31,5,900,7000,59250,452000,452500,257.738,398.857
Legend,5000,5000,5000,5000,5000,500000,500000,500000,500000,500000,50,500
